framework,version,algorithm,run,time_s,repetition,dataset_size,data_type
c,from_model,2mm,1,0.000005,1,MINI,DOUBLE
c,from_model,2mm,2,0.000005,1,MINI,DOUBLE
c,from_model,2mm,3,0.000006,1,MINI,DOUBLE
c,from_model,2mm,4,0.000005,1,MINI,DOUBLE
c,from_model,2mm,5,0.000005,1,MINI,DOUBLE
c,from_model,3mm,1,0.000009,1,MINI,DOUBLE
c,from_model,3mm,2,0.000009,1,MINI,DOUBLE
c,from_model,3mm,3,0.000008,1,MINI,DOUBLE
c,from_model,3mm,4,0.000008,1,MINI,DOUBLE
c,from_model,3mm,5,0.000008,1,MINI,DOUBLE
c,from_model,adi,1,0.000090,1,MINI,DOUBLE
c,from_model,adi,2,0.000089,1,MINI,DOUBLE
c,from_model,adi,3,0.000088,1,MINI,DOUBLE
c,from_model,adi,4,0.000100,1,MINI,DOUBLE
c,from_model,adi,5,0.000089,1,MINI,DOUBLE
c,from_model,atax,1,0.000002,1,MINI,DOUBLE
c,from_model,atax,2,0.000003,1,MINI,DOUBLE
c,from_model,atax,3,0.000003,1,MINI,DOUBLE
c,from_model,atax,4,0.000002,1,MINI,DOUBLE
c,from_model,atax,5,0.000003,1,MINI,DOUBLE
c,from_model,bicg,1,0.000108,1,MINI,DOUBLE
c,from_model,bicg,2,0.000098,1,MINI,DOUBLE
c,from_model,bicg,3,0.000104,1,MINI,DOUBLE
c,from_model,bicg,4,0.000107,1,MINI,DOUBLE
c,from_model,bicg,5,0.000102,1,MINI,DOUBLE
c,from_model,cholesky,1,0.000014,1,MINI,DOUBLE
c,from_model,cholesky,2,0.000013,1,MINI,DOUBLE
c,from_model,cholesky,3,0.000014,1,MINI,DOUBLE
c,from_model,cholesky,4,0.000014,1,MINI,DOUBLE
c,from_model,cholesky,5,0.000013,1,MINI,DOUBLE
c,from_model,correlation,1,0.000013,1,MINI,DOUBLE
c,from_model,correlation,2,0.000013,1,MINI,DOUBLE
c,from_model,correlation,3,0.000013,1,MINI,DOUBLE
c,from_model,correlation,4,0.000013,1,MINI,DOUBLE
c,from_model,correlation,5,0.000013,1,MINI,DOUBLE
c,from_model,covariance,1,0.000014,1,MINI,DOUBLE
c,from_model,covariance,2,0.000014,1,MINI,DOUBLE
c,from_model,covariance,3,0.000013,1,MINI,DOUBLE
c,from_model,covariance,4,0.000013,1,MINI,DOUBLE
c,from_model,covariance,5,0.000013,1,MINI,DOUBLE
c,from_model,deriche,1,0.000106,1,MINI,DOUBLE
c,from_model,deriche,2,0.000103,1,MINI,DOUBLE
c,from_model,deriche,3,0.000105,1,MINI,DOUBLE
c,from_model,deriche,4,0.000104,1,MINI,DOUBLE
c,from_model,deriche,5,0.000106,1,MINI,DOUBLE
c,from_model,doitgen,1,0.000007,1,MINI,DOUBLE
c,from_model,doitgen,2,0.000007,1,MINI,DOUBLE
c,from_model,doitgen,3,0.000008,1,MINI,DOUBLE
c,from_model,doitgen,4,0.000008,1,MINI,DOUBLE
c,from_model,doitgen,5,0.000007,1,MINI,DOUBLE
c,from_model,durbin,1,0.000003,1,MINI,DOUBLE
c,from_model,durbin,2,0.000002,1,MINI,DOUBLE
c,from_model,durbin,3,0.000003,1,MINI,DOUBLE
c,from_model,durbin,4,0.000003,1,MINI,DOUBLE
c,from_model,durbin,5,0.000003,1,MINI,DOUBLE
c,from_model,fdtd-2d,1,0.000018,1,MINI,DOUBLE
c,from_model,fdtd-2d,2,0.000018,1,MINI,DOUBLE
c,from_model,fdtd-2d,3,0.000018,1,MINI,DOUBLE
c,from_model,fdtd-2d,4,0.000028,1,MINI,DOUBLE
c,from_model,fdtd-2d,5,0.000018,1,MINI,DOUBLE
c,from_model,floyd-warshall,1,0.000057,1,MINI,DOUBLE
c,from_model,floyd-warshall,2,0.000055,1,MINI,DOUBLE
c,from_model,floyd-warshall,3,0.000056,1,MINI,DOUBLE
