framework,prompt,attempt_count,validated_attempt_count,invalid_attempt_count,compile_error_count,runtime_error_count,numerical_mismatch_count,timeout_count,unclassified_invalid_count,benchmark_count
c,AllHints,130,112,18,9,0,9,0,0,26
c,ChooseHints,130,113,17,10,1,5,1,0,26
c,FromPlan,130,118,12,7,0,5,0,0,26
c,Naive,130,118,12,7,0,5,0,0,26
exo,AllHints,130,89,41,34,0,7,0,0,26
exo,ChooseHints,130,87,43,38,0,5,0,0,26
exo,FromPlan,130,56,74,73,0,1,0,0,26
exo,Naive,130,81,49,44,0,5,0,0,26
halide,AllHints,130,15,115,47,65,3,0,0,26
halide,ChooseHints,130,19,111,44,64,3,0,0,26
halide,FromPlan,130,17,113,40,72,1,0,0,26
halide,Naive,130,15,115,36,72,7,0,0,26
noarr,AllHints,130,110,20,13,0,7,0,0,26
noarr,ChooseHints,130,108,22,13,0,9,0,0,26
noarr,FromPlan,130,98,32,24,2,6,0,0,26
noarr,Naive,130,107,23,15,0,8,0,0,26
