framework,version,algorithm,run,time_s,repetition,dataset_size
c,standard,2mm,1,0.000019,1,MINI
c,standard,2mm,2,0.000020,1,MINI
c,standard,2mm,3,0.000020,1,MINI
c,standard,2mm,4,0.000019,1,MINI
c,standard,2mm,5,0.000020,1,MINI
c,standard,3mm,1,0.000030,1,MINI
c,standard,3mm,2,0.000032,1,MINI
c,standard,3mm,3,0.000031,1,MINI
c,standard,3mm,4,0.000031,1,MINI
c,standard,3mm,5,0.000031,1,MINI
c,standard,adi,1,0.000129,1,MINI
c,standard,adi,2,0.000127,1,MINI
c,standard,adi,3,0.000127,1,MINI
c,standard,adi,4,0.000127,1,MINI
c,standard,adi,5,0.000128,1,MINI
c,standard,atax,1,0.000004,1,MINI
c,standard,atax,2,0.000003,1,MINI
c,standard,atax,3,0.000003,1,MINI
c,standard,atax,4,0.000003,1,MINI
c,standard,atax,5,0.000003,1,MINI
c,standard,bicg,1,0.000006,1,MINI
c,standard,bicg,2,0.000006,1,MINI
c,standard,bicg,3,0.000006,1,MINI
c,standard,bicg,4,0.000006,1,MINI
c,standard,bicg,5,0.000006,1,MINI
c,standard,cholesky,1,0.000016,1,MINI
c,standard,cholesky,2,0.000015,1,MINI
c,standard,cholesky,3,0.000016,1,MINI
c,standard,cholesky,4,0.000015,1,MINI
c,standard,cholesky,5,0.000015,1,MINI
c,standard,correlation,1,0.000023,1,MINI
c,standard,correlation,2,0.000024,1,MINI
c,standard,correlation,3,0.000025,1,MINI
c,standard,correlation,4,0.000024,1,MINI
c,standard,correlation,5,0.000025,1,MINI
c,standard,covariance,1,0.000036,1,MINI
c,standard,covariance,2,0.000025,1,MINI
c,standard,covariance,3,0.000035,1,MINI
c,standard,covariance,4,0.000035,1,MINI
c,standard,covariance,5,0.000034,1,MINI
c,standard,deriche,1,0.000137,1,MINI
c,standard,deriche,2,0.000136,1,MINI
c,standard,deriche,3,0.000138,1,MINI
c,standard,deriche,4,0.000137,1,MINI
c,standard,deriche,5,0.000138,1,MINI
c,standard,doitgen,1,0.000011,1,MINI
c,standard,doitgen,2,0.000012,1,MINI
c,standard,doitgen,3,0.000012,1,MINI
c,standard,doitgen,4,0.000012,1,MINI
c,standard,doitgen,5,0.000012,1,MINI
c,standard,durbin,1,0.000004,1,MINI
c,standard,durbin,2,0.000004,1,MINI
c,standard,durbin,3,0.000003,1,MINI
c,standard,durbin,4,0.000004,1,MINI
c,standard,durbin,5,0.000003,1,MINI
c,standard,fdtd-2d,1,0.000029,1,MINI
c,standard,fdtd-2d,2,0.000018,1,MINI
c,standard,fdtd-2d,3,0.000028,1,MINI
c,standard,fdtd-2d,4,0.000028,1,MINI
c,standard,fdtd-2d,5,0.000019,1,MINI
c,standard,floyd-warshall,1,0.000245,1,MINI
c,standard,floyd-warshall,2,0.000245,1,MINI
c,standard,floyd-warshall,3,0.000245,1,MINI
c,standard,floyd-warshall,4,0.000259,1,MINI
c,standard,floyd-warshall,5,0.000244,1,MINI
c,standard,gemm,1,0.000005,1,MINI
c,standard,gemm,2,0.000005,1,MINI
c,standard,gemm,3,0.000005,1,MINI
c,standard,gemm,4,0.000006,1,MINI
c,standard,gemm,5,0.000005,1,MINI
c,standard,gemver,1,0.000006,1,MINI
c,standard,gemver,2,0.000006,1,MINI
c,standard,gemver,3,0.000007,1,MINI
c,standard,gemver,4,0.000007,1,MINI
c,standard,gemver,5,0.000006,1,MINI
c,standard,gesummv,1,0.000004,1,MINI
c,standard,gesummv,2,0.000004,1,MINI
c,standard,gesummv,3,0.000004,1,MINI
c,standard,gesummv,4,0.000004,1,MINI
c,standard,gesummv,5,0.000004,1,MINI
c,standard,gramschmidt,1,0.000022,1,MINI
c,standard,gramschmidt,2,0.000024,1,MINI
c,standard,gramschmidt,3,0.000022,1,MINI
c,standard,gramschmidt,4,0.000022,1,MINI
c,standard,gramschmidt,5,0.000021,1,MINI
c,standard,heat-3d,1,0.000037,1,MINI
c,standard,heat-3d,2,0.000037,1,MINI
c,standard,heat-3d,3,0.000036,1,MINI
c,standard,heat-3d,4,0.000037,1,MINI
c,standard,heat-3d,5,0.000036,1,MINI
c,standard,jacobi-1d,1,0.000001,1,MINI
c,standard,jacobi-1d,2,0.000001,1,MINI
c,standard,jacobi-1d,3,0.000001,1,MINI
c,standard,jacobi-1d,4,0.000001,1,MINI
c,standard,jacobi-1d,5,0.000001,1,MINI
c,standard,jacobi-2d,1,0.000034,1,MINI
c,standard,jacobi-2d,2,0.000035,1,MINI
c,standard,jacobi-2d,3,0.000035,1,MINI
c,standard,jacobi-2d,4,0.000035,1,MINI
c,standard,jacobi-2d,5,0.000035,1,MINI
c,standard,lu,1,0.000031,1,MINI
c,standard,lu,2,0.000030,1,MINI
c,standard,lu,3,0.000031,1,MINI
c,standard,lu,4,0.000030,1,MINI
c,standard,lu,5,0.000031,1,MINI
c,standard,ludcmp,1,0.000030,1,MINI
c,standard,ludcmp,2,0.000029,1,MINI
c,standard,ludcmp,3,0.000029,1,MINI
c,standard,ludcmp,4,0.000028,1,MINI
c,standard,ludcmp,5,0.000029,1,MINI
c,standard,mvt,1,0.000005,1,MINI
c,standard,mvt,2,0.000005,1,MINI
c,standard,mvt,3,0.000005,1,MINI
c,standard,mvt,4,0.000005,1,MINI
c,standard,mvt,5,0.000005,1,MINI
c,standard,nussinov,1,0.000130,1,MINI
c,standard,nussinov,2,0.000125,1,MINI
c,standard,nussinov,3,0.000114,1,MINI
c,standard,nussinov,4,0.000125,1,MINI
c,standard,nussinov,5,0.000114,1,MINI
c,standard,seidel-2d,1,0.000362,1,MINI
c,standard,seidel-2d,2,0.000360,1,MINI
c,standard,seidel-2d,3,0.000359,1,MINI
c,standard,seidel-2d,4,0.000361,1,MINI
c,standard,seidel-2d,5,0.000346,1,MINI
c,standard,symm,1,0.000015,1,MINI
c,standard,symm,2,0.000014,1,MINI
c,standard,symm,3,0.000015,1,MINI
c,standard,symm,4,0.000014,1,MINI
c,standard,symm,5,0.000014,1,MINI
c,standard,syr2k,1,0.000015,1,MINI
c,standard,syr2k,2,0.000014,1,MINI
c,standard,syr2k,3,0.000015,1,MINI
c,standard,syr2k,4,0.000014,1,MINI
c,standard,syr2k,5,0.000014,1,MINI
c,standard,syrk,1,0.000008,1,MINI
c,standard,syrk,2,0.000008,1,MINI
c,standard,syrk,3,0.000007,1,MINI
c,standard,syrk,4,0.000007,1,MINI
c,standard,syrk,5,0.000007,1,MINI
c,standard,trisolv,1,0.000002,1,MINI
c,standard,trisolv,2,0.000001,1,MINI
c,standard,trisolv,3,0.000002,1,MINI
c,standard,trisolv,4,0.000002,1,MINI
c,standard,trisolv,5,0.000001,1,MINI
c,standard,trmm,1,0.000009,1,MINI
c,standard,trmm,2,0.000023,1,MINI
c,standard,trmm,3,0.000008,1,MINI
c,standard,trmm,4,0.000008,1,MINI
c,standard,trmm,5,0.000008,1,MINI
noarr,standard,2mm,1,0.000025,1,MINI
noarr,standard,2mm,2,0.000024,1,MINI
noarr,standard,2mm,3,0.000024,1,MINI
noarr,standard,2mm,4,0.000024,1,MINI
noarr,standard,2mm,5,0.000024,1,MINI
noarr,standard,3mm,1,0.000071,1,MINI
noarr,standard,3mm,2,0.000071,1,MINI
noarr,standard,3mm,3,0.000092,1,MINI
noarr,standard,3mm,4,0.000092,1,MINI
noarr,standard,3mm,5,0.000092,1,MINI
noarr,standard,adi,1,0.000111,1,MINI
noarr,standard,adi,2,0.000111,1,MINI
noarr,standard,adi,3,0.000111,1,MINI
noarr,standard,adi,4,0.000111,1,MINI
noarr,standard,adi,5,0.000111,1,MINI
noarr,standard,atax,1,0.000002,1,MINI
noarr,standard,atax,2,0.000002,1,MINI
noarr,standard,atax,3,0.000002,1,MINI
noarr,standard,atax,4,0.000002,1,MINI
noarr,standard,atax,5,0.000002,1,MINI
noarr,standard,bicg,1,0.000005,1,MINI
noarr,standard,bicg,2,0.000005,1,MINI
noarr,standard,bicg,3,0.000005,1,MINI
noarr,standard,bicg,4,0.000005,1,MINI
noarr,standard,bicg,5,0.000005,1,MINI
noarr,standard,correlation,1,0.000025,1,MINI
noarr,standard,correlation,2,0.000024,1,MINI
noarr,standard,correlation,3,0.000024,1,MINI
noarr,standard,correlation,4,0.000024,1,MINI
noarr,standard,correlation,5,0.000024,1,MINI
noarr,standard,covariance,1,0.000032,1,MINI
noarr,standard,covariance,2,0.000023,1,MINI
noarr,standard,covariance,3,0.000023,1,MINI
noarr,standard,covariance,4,0.000023,1,MINI
noarr,standard,covariance,5,0.000023,1,MINI
noarr,standard,deriche,1,0.000059,1,MINI
noarr,standard,deriche,2,0.000058,1,MINI
noarr,standard,deriche,3,0.000060,1,MINI
noarr,standard,deriche,4,0.000059,1,MINI
noarr,standard,deriche,5,0.000058,1,MINI
noarr,standard,doitgen,1,0.000010,1,MINI
noarr,standard,doitgen,2,0.000009,1,MINI
noarr,standard,doitgen,3,0.000009,1,MINI
noarr,standard,doitgen,4,0.000009,1,MINI
noarr,standard,doitgen,5,0.000009,1,MINI
